sr_no,disco,feeder_name,grid_station,schedule_type,slot_start,slot_end,duration_hours,raw_slot,source_file,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
1,F-6,ABDUL RAHEEM (F-7/2),86403,2HR,00:00,01:00,1.0,00--01,islamabad.xlsx,19.7,53.2,18.9,0.0,5.4,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,2HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,4HR,00:00,01:00,1.0,00--01,islamabad.xlsx,19.7,53.2,18.9,0.0,5.4,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,4HR,06:00,07:00,1.0,06--07,islamabad.xlsx,19.0,56.1,18.2,0.0,5.1,5.3,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,4HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,4HR,18:00,19:00,1.0,18--19,islamabad.xlsx,30.8,24.5,29.0,0.0,7.6,129.6,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,00:00,01:00,1.0,00--01,islamabad.xlsx,19.7,53.2,18.9,0.0,5.4,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,04:00,05:00,1.0,04--05,islamabad.xlsx,17.6,57.0,16.8,0.0,3.8,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,08:00,09:00,1.0,08--09,islamabad.xlsx,25.3,38.8,24.7,0.0,3.8,273.3,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,16:00,17:00,1.0,16--17,islamabad.xlsx,33.3,19.1,30.9,0.0,8.9,470.6,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,6HR,20:00,21:00,1.0,20--21,islamabad.xlsx,25.5,34.3,24.2,0.0,6.0,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,00:00,01:00,1.0,00--01,islamabad.xlsx,19.7,53.2,18.9,0.0,5.4,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,03:00,04:00,1.0,03--04,islamabad.xlsx,18.0,56.3,17.2,0.0,4.0,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,06:00,07:00,1.0,06--07,islamabad.xlsx,19.0,56.1,18.2,0.0,5.1,5.3,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,09:00,10:00,1.0,09--10,islamabad.xlsx,28.8,29.7,27.7,0.0,5.8,468.7,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,15:00,16:00,1.0,15--16,islamabad.xlsx,33.6,19.6,31.9,0.1,9.0,588.3,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,18:00,19:00,1.0,18--19,islamabad.xlsx,30.8,24.5,29.0,0.0,7.6,129.6,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,8HR,21:00,22:00,1.0,21--22,islamabad.xlsx,23.5,41.2,22.4,0.0,5.8,0.0,0.0
