datetime,date,hour,day_of_week,month,is_weekend,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
2025-05-01T00:00,2025-05-01,0,Thursday,5,0,23.5,44,22.8,0.0,6.1,0.0,0
2025-05-01T01:00,2025-05-01,1,Thursday,5,0,22.9,44,22.0,0.0,5.5,0.0,0
2025-05-01T02:00,2025-05-01,2,Thursday,5,0,22.1,45,21.1,0.0,6.1,0.0,0
2025-05-01T03:00,2025-05-01,3,Thursday,5,0,21.8,45,20.5,0.0,7.5,0.0,0
2025-05-01T04:00,2025-05-01,4,Thursday,5,0,21.7,44,20.3,0.0,7.9,0.0,0
2025-05-01T05:00,2025-05-01,5,Thursday,5,0,22.0,41,20.2,0.0,8.7,0.0,0
2025-05-01T06:00,2025-05-01,6,Thursday,5,0,25.8,44,25.4,0.0,7.9,16.0,1
2025-05-01T07:00,2025-05-01,7,Thursday,5,0,28.6,39,28.6,0.0,7.5,135.0,1
2025-05-01T08:00,2025-05-01,8,Thursday,5,0,32.0,34,32.1,0.0,8.8,321.0,1
2025-05-01T09:00,2025-05-01,9,Thursday,5,0,33.2,33,32.9,0.0,13.3,516.0,1
2025-05-01T10:00,2025-05-01,10,Thursday,5,0,34.7,30,35.0,0.0,13.2,685.0,1
2025-05-01T11:00,2025-05-01,11,Thursday,5,0,33.0,34,34.6,0.5,10.3,816.0,1
2025-05-01T12:00,2025-05-01,12,Thursday,5,0,29.5,42,27.5,0.0,24.6,411.0,1
2025-05-01T13:00,2025-05-01,13,Thursday,5,0,31.6,33,31.7,0.0,6.7,460.0,1
2025-05-01T14:00,2025-05-01,14,Thursday,5,0,33.2,30,32.8,0.0,9.9,517.0,1
2025-05-01T15:00,2025-05-01,15,Thursday,5,0,33.8,26,34.2,0.0,1.5,439.0,1
2025-05-01T16:00,2025-05-01,16,Thursday,5,0,33.5,27,33.2,0.0,6.1,353.0,1
2025-05-01T17:00,2025-05-01,17,Thursday,5,0,33.0,28,33.7,0.0,0.8,196.0,1
2025-05-01T18:00,2025-05-01,18,Thursday,5,0,29.4,42,30.0,0.0,6.7,73.0,1
2025-05-01T19:00,2025-05-01,19,Thursday,5,0,28.9,43,30.0,0.0,3.3,13.0,0
2025-05-01T20:00,2025-05-01,20,Thursday,5,0,27.8,46,29.2,0.0,2.1,0.0,0
2025-05-01T21:00,2025-05-01,21,Thursday,5,0,27.2,49,28.2,0.0,5.8,0.0,0
2025-05-01T22:00,2025-05-01,22,Thursday,5,0,26.6,51,27.6,0.0,6.6,0.0,0
2025-05-01T23:00,2025-05-01,23,Thursday,5,0,24.7,56,26.1,0.0,3.3,0.0,0
2025-05-02T00:00,2025-05-02,0,Friday,5,1,23.4,62,24.9,0.0,2.4,0.0,0
2025-05-02T01:00,2025-05-02,1,Friday,5,1,22.8,64,24.6,0.0,0.4,0.0,0
2025-05-02T02:00,2025-05-02,2,Friday,5,1,22.5,65,24.4,0.0,0.3,0.0,0
2025-05-02T03:00,2025-05-02,3,Friday,5,1,22.1,65,23.6,0.0,1.5,0.0,0
2025-05-02T04:00,2025-05-02,4,Friday,5,1,21.9,62,22.5,0.0,5.2,0.0,0
2025-05-02T05:00,2025-05-02,5,Friday,5,1,21.5,59,21.5,0.0,6.8,0.0,0
2025-05-02T06:00,2025-05-02,6,Friday,5,1,21.9,60,22.3,0.0,5.6,16.0,1
2025-05-02T07:00,2025-05-02,7,Friday,5,1,24.5,54,25.2,0.0,5.6,128.0,1
2025-05-02T08:00,2025-05-02,8,Friday,5,1,28.3,43,29.8,0.0,0.6,311.0,1
2025-05-02T09:00,2025-05-02,9,Friday,5,1,30.9,39,31.6,0.0,7.1,504.0,1
2025-05-02T10:00,2025-05-02,10,Friday,5,1,31.9,37,33.3,0.0,8.5,677.0,1
2025-05-02T11:00,2025-05-02,11,Friday,5,1,29.6,45,29.7,0.3,22.6,804.0,1
2025-05-02T12:00,2025-05-02,12,Friday,5,1,26.1,62,28.1,6.1,7.7,566.0,1
2025-05-02T13:00,2025-05-02,13,Friday,5,1,24.9,62,26.0,0.0,9.5,114.0,1
2025-05-02T14:00,2025-05-02,14,Friday,5,1,26.0,57,27.4,0.2,7.6,203.0,1
2025-05-02T15:00,2025-05-02,15,Friday,5,1,27.5,53,28.9,0.0,7.8,358.0,1
2025-05-02T16:00,2025-05-02,16,Friday,5,1,27.9,51,28.9,0.0,9.5,282.0,1
2025-05-02T17:00,2025-05-02,17,Friday,5,1,28.2,51,29.8,0.0,6.3,243.0,1
2025-05-02T18:00,2025-05-02,18,Friday,5,1,26.9,54,27.9,0.0,10.0,85.0,1
2025-05-02T19:00,2025-05-02,19,Friday,5,1,25.7,58,26.8,0.0,8.9,23.0,0
2025-05-02T20:00,2025-05-02,20,Friday,5,1,24.5,62,26.7,0.0,1.7,0.0,0
2025-05-02T21:00,2025-05-02,21,Friday,5,1,23.6,66,25.6,0.0,2.8,0.0,0
2025-05-02T22:00,2025-05-02,22,Friday,5,1,23.1,70,25.6,0.0,1.1,0.0,0
2025-05-02T23:00,2025-05-02,23,Friday,5,1,22.0,76,24.6,0.0,0.4,0.0,0
2025-05-03T00:00,2025-05-03,0,Saturday,5,1,21.1,81,23.7,0.0,1.0,0.0,0
2025-05-03T01:00,2025-05-03,1,Saturday,5,1,20.4,85,22.9,0.0,2.0,0.0,0
2025-05-03T02:00,2025-05-03,2,Saturday,5,1,20.3,85,22.8,0.0,2.1,0.0,0
2025-05-03T03:00,2025-05-03,3,Saturday,5,1,19.9,86,22.3,0.0,1.5,0.0,0
2025-05-03T04:00,2025-05-03,4,Saturday,5,1,19.5,86,21.8,0.0,1.1,0.0,0
2025-05-03T05:00,2025-05-03,5,Saturday,5,1,19.0,87,21.1,0.0,2.1,0.0,0
2025-05-03T06:00,2025-05-03,6,Saturday,5,1,20.5,83,22.7,0.0,3.0,17.0,1
2025-05-03T07:00,2025-05-03,7,Saturday,5,1,23.1,71,25.6,0.0,1.0,127.0,1
2025-05-03T08:00,2025-05-03,8,Saturday,5,1,25.5,57,27.6,0.0,0.9,287.0,1
2025-05-03T09:00,2025-05-03,9,Saturday,5,1,28.4,43,29.6,0.0,1.6,459.0,1
2025-05-03T10:00,2025-05-03,10,Saturday,5,1,29.6,38,30.5,0.0,4.0,578.0,1
2025-05-03T11:00,2025-05-03,11,Saturday,5,1,28.5,44,28.6,0.2,10.2,509.0,1
2025-05-03T12:00,2025-05-03,12,Saturday,5,1,28.6,42,29.4,0.9,8.0,640.0,1
2025-05-03T13:00,2025-05-03,13,Saturday,5,1,29.3,40,29.8,0.0,7.6,597.0,1
2025-05-03T14:00,2025-05-03,14,Saturday,5,1,29.9,37,30.1,0.0,8.1,583.0,1
2025-05-03T15:00,2025-05-03,15,Saturday,5,1,30.5,36,31.2,0.0,4.7,571.0,1
2025-05-03T16:00,2025-05-03,16,Saturday,5,1,30.3,36,31.0,0.2,2.4,403.0,1
2025-05-03T17:00,2025-05-03,17,Saturday,5,1,29.5,37,29.9,0.1,4.3,228.0,1
2025-05-03T18:00,2025-05-03,18,Saturday,5,1,28.5,37,27.6,0.0,10.6,136.0,1
2025-05-03T19:00,2025-05-03,19,Saturday,5,1,26.9,40,26.3,0.0,8.3,27.0,0
2025-05-03T20:00,2025-05-03,20,Saturday,5,1,25.2,48,25.8,0.0,3.3,0.0,0
2025-05-03T21:00,2025-05-03,21,Saturday,5,1,24.0,56,25.2,0.0,1.4,0.0,0
2025-05-03T22:00,2025-05-03,22,Saturday,5,1,22.9,62,24.2,0.0,3.0,0.0,0
2025-05-03T23:00,2025-05-03,23,Saturday,5,1,22.2,67,23.6,0.0,4.8,0.0,0
2025-05-04T00:00,2025-05-04,0,Sunday,5,1,21.3,73,22.8,0.0,4.5,0.0,0
2025-05-04T01:00,2025-05-04,1,Sunday,5,1,20.8,74,22.0,0.0,5.2,0.0,0
2025-05-04T02:00,2025-05-04,2,Sunday,5,1,20.0,76,21.2,0.0,4.4,0.0,0
2025-05-04T03:00,2025-05-04,3,Sunday,5,1,19.4,78,20.6,0.0,4.2,0.0,0
2025-05-04T04:00,2025-05-04,4,Sunday,5,1,19.2,78,20.4,0.0,3.6,0.0,0
2025-05-04T05:00,2025-05-04,5,Sunday,5,1,19.1,77,20.2,0.0,4.3,0.0,0
2025-05-04T06:00,2025-05-04,6,Sunday,5,1,22.4,68,24.0,0.0,3.6,18.0,1
2025-05-04T07:00,2025-05-04,7,Sunday,5,1,25.0,57,26.1,0.0,5.2,127.0,1
2025-05-04T08:00,2025-05-04,8,Sunday,5,1,28.2,43,28.9,0.0,6.0,278.0,1
2025-05-04T09:00,2025-05-04,9,Sunday,5,1,26.9,49,27.7,1.1,7.0,422.0,1
2025-05-04T10:00,2025-05-04,10,Sunday,5,1,27.2,48,27.9,0.2,7.0,342.0,1
2025-05-04T11:00,2025-05-04,11,Sunday,5,1,30.6,36,32.1,0.0,4.7,704.0,1
2025-05-04T12:00,2025-05-04,12,Sunday,5,1,30.2,36,31.3,0.5,4.4,643.0,1
2025-05-04T13:00,2025-05-04,13,Sunday,5,1,29.0,40,29.5,0.3,12.3,724.0,1
2025-05-04T14:00,2025-05-04,14,Sunday,5,1,31.3,32,31.7,0.0,4.0,563.0,1
2025-05-04T15:00,2025-05-04,15,Sunday,5,1,31.4,29,31.5,0.0,1.9,534.0,1
2025-05-04T16:00,2025-05-04,16,Sunday,5,1,30.6,32,30.3,0.0,6.3,371.0,1
2025-05-04T17:00,2025-05-04,17,Sunday,5,1,30.4,33,30.7,0.0,2.4,318.0,1
2025-05-04T18:00,2025-05-04,18,Sunday,5,1,26.6,52,27.9,0.0,5.4,141.0,1
2025-05-04T19:00,2025-05-04,19,Sunday,5,1,25.2,59,27.0,0.0,3.7,24.0,0
2025-05-04T20:00,2025-05-04,20,Sunday,5,1,24.6,63,26.8,0.0,2.4,0.0,0
2025-05-04T21:00,2025-05-04,21,Sunday,5,1,23.4,71,25.7,0.0,3.9,0.0,0
2025-05-04T22:00,2025-05-04,22,Sunday,5,1,22.4,78,25.0,0.0,2.8,0.0,0
2025-05-04T23:00,2025-05-04,23,Sunday,5,1,21.4,81,23.9,0.0,2.9,0.0,0
2025-05-05T00:00,2025-05-05,0,Monday,5,0,20.8,83,23.3,0.0,1.7,0.0,0
2025-05-05T01:00,2025-05-05,1,Monday,5,0,20.1,85,22.4,0.0,3.0,0.0,0
2025-05-05T02:00,2025-05-05,2,Monday,5,0,19.9,83,21.7,0.0,3.6,0.0,0
2025-05-05T03:00,2025-05-05,3,Monday,5,0,19.8,78,21.3,0.0,3.7,0.0,0
2025-05-05T04:00,2025-05-05,4,Monday,5,0,19.7,77,21.1,0.0,3.4,0.0,0
2025-05-05T05:00,2025-05-05,5,Monday,5,0,19.6,76,21.1,0.0,2.8,0.0,0
2025-05-05T06:00,2025-05-05,6,Monday,5,0,20.5,74,21.7,0.0,5.2,19.0,1
2025-05-05T07:00,2025-05-05,7,Monday,5,0,22.6,62,23.7,0.0,4.6,120.0,1
2025-05-05T08:00,2025-05-05,8,Monday,5,0,25.8,49,26.8,0.0,2.4,297.0,1
2025-05-05T09:00,2025-05-05,9,Monday,5,0,27.2,48,28.2,0.0,6.1,441.0,1
2025-05-05T10:00,2025-05-05,10,Monday,5,0,28.9,45,30.5,0.0,5.5,626.0,1
2025-05-05T11:00,2025-05-05,11,Monday,5,0,30.2,40,32.3,0.0,6.2,749.0,1
2025-05-05T12:00,2025-05-05,12,Monday,5,0,31.4,36,33.4,0.0,5.7,766.0,1
2025-05-05T13:00,2025-05-05,13,Monday,5,0,31.5,35,32.8,0.0,6.8,687.0,1
2025-05-05T14:00,2025-05-05,14,Monday,5,0,30.6,39,30.8,0.6,15.1,682.0,1
2025-05-05T15:00,2025-05-05,15,Monday,5,0,28.5,50,29.0,0.0,13.2,496.0,1
2025-05-05T16:00,2025-05-05,16,Monday,5,0,27.4,52,28.1,0.0,11.0,330.0,1
2025-05-05T17:00,2025-05-05,17,Monday,5,0,27.5,50,28.7,0.0,7.2,253.0,1
2025-05-05T18:00,2025-05-05,18,Monday,5,0,28.0,48,29.2,0.0,6.1,137.0,1
2025-05-05T19:00,2025-05-05,19,Monday,5,0,26.5,54,27.7,0.0,6.2,26.0,0
2025-05-05T20:00,2025-05-05,20,Monday,5,0,25.0,59,26.6,0.0,4.7,0.0,0
2025-05-05T21:00,2025-05-05,21,Monday,5,0,23.4,68,25.3,0.0,4.0,0.0,0
2025-05-05T22:00,2025-05-05,22,Monday,5,0,22.1,75,24.3,0.0,3.8,0.0,0
2025-05-05T23:00,2025-05-05,23,Monday,5,0,21.2,80,23.5,0.0,3.5,0.0,0
2025-05-06T00:00,2025-05-06,0,Tuesday,5,0,20.9,81,23.2,0.0,2.7,0.0,0
2025-05-06T01:00,2025-05-06,1,Tuesday,5,0,20.5,83,22.7,0.0,2.6,0.0,0
2025-05-06T02:00,2025-05-06,2,Tuesday,5,0,20.2,83,22.5,0.0,2.3,0.0,0
2025-05-06T03:00,2025-05-06,3,Tuesday,5,0,19.9,84,22.1,0.0,2.7,0.0,0
2025-05-06T04:00,2025-05-06,4,Tuesday,5,0,19.5,85,21.4,0.0,3.6,0.0,0
2025-05-06T05:00,2025-05-06,5,Tuesday,5,0,19.4,84,21.0,0.0,4.5,0.0,0
2025-05-06T06:00,2025-05-06,6,Tuesday,5,0,21.5,72,22.9,0.0,4.8,19.0,1
2025-05-06T07:00,2025-05-06,7,Tuesday,5,0,24.2,59,25.5,0.0,4.6,136.0,1
2025-05-06T08:00,2025-05-06,8,Tuesday,5,0,27.1,49,28.1,0.0,5.4,322.0,1
