datetime,date,hour,day_of_week,month,is_weekend,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
2023-01-01T00:00,2023-01-01,0,Sunday,1,1,7.1,75,5.0,0.0,3.3,0.0,0
2023-01-01T01:00,2023-01-01,1,Sunday,1,1,7.4,70,5.0,0.0,4.6,0.0,0
2023-01-01T02:00,2023-01-01,2,Sunday,1,1,7.6,67,5.3,0.0,3.4,0.0,0
2023-01-01T03:00,2023-01-01,3,Sunday,1,1,7.7,64,5.5,0.0,2.2,0.0,0
2023-01-01T04:00,2023-01-01,4,Sunday,1,1,7.8,63,5.5,0.0,2.5,0.0,0
2023-01-01T05:00,2023-01-01,5,Sunday,1,1,7.2,67,4.6,0.0,4.8,0.0,0
2023-01-01T06:00,2023-01-01,6,Sunday,1,1,4.2,74,0.9,0.0,8.1,0.0,0
2023-01-01T07:00,2023-01-01,7,Sunday,1,1,7.8,54,4.8,0.0,4.3,0.0,0
2023-01-01T08:00,2023-01-01,8,Sunday,1,1,8.2,52,5.7,0.0,1.3,24.0,1
2023-01-01T09:00,2023-01-01,9,Sunday,1,1,9.2,55,7.0,0.0,1.8,150.0,1
2023-01-01T10:00,2023-01-01,10,Sunday,1,1,11.6,52,9.3,0.0,3.8,302.0,1
2023-01-01T11:00,2023-01-01,11,Sunday,1,1,13.9,47,11.7,0.0,3.9,426.0,1
2023-01-01T12:00,2023-01-01,12,Sunday,1,1,15.8,43,13.6,0.0,4.3,498.0,1
2023-01-01T13:00,2023-01-01,13,Sunday,1,1,17.0,42,15.0,0.0,4.3,509.0,1
2023-01-01T14:00,2023-01-01,14,Sunday,1,1,17.6,41,15.5,0.0,4.9,458.0,1
2023-01-01T15:00,2023-01-01,15,Sunday,1,1,17.5,41,15.3,0.0,5.2,352.0,1
2023-01-01T16:00,2023-01-01,16,Sunday,1,1,15.1,64,13.8,0.0,6.1,208.0,1
2023-01-01T17:00,2023-01-01,17,Sunday,1,1,13.1,52,10.4,0.0,7.6,61.0,1
2023-01-01T18:00,2023-01-01,18,Sunday,1,1,11.9,59,9.7,0.0,6.1,0.0,0
2023-01-01T19:00,2023-01-01,19,Sunday,1,1,11.3,64,9.8,0.0,1.3,0.0,0
2023-01-01T20:00,2023-01-01,20,Sunday,1,1,11.1,63,8.8,0.0,6.2,0.0,0
2023-01-01T21:00,2023-01-01,21,Sunday,1,1,6.6,79,3.8,0.0,8.4,0.0,0
2023-01-01T22:00,2023-01-01,22,Sunday,1,1,5.2,85,2.4,0.0,8.4,0.0,0
2023-01-01T23:00,2023-01-01,23,Sunday,1,1,4.5,86,1.7,0.0,7.7,0.0,0
2023-01-02T00:00,2023-01-02,0,Monday,1,0,4.3,84,1.5,0.0,6.9,0.0,0
2023-01-02T01:00,2023-01-02,1,Monday,1,0,4.4,81,1.6,0.0,6.4,0.0,0
2023-01-02T02:00,2023-01-02,2,Monday,1,0,5.0,75,2.0,0.0,6.8,0.0,0
2023-01-02T03:00,2023-01-02,3,Monday,1,0,6.2,67,3.2,0.0,6.8,0.0,0
2023-01-02T04:00,2023-01-02,4,Monday,1,0,7.3,60,4.4,0.0,5.4,0.0,0
2023-01-02T05:00,2023-01-02,5,Monday,1,0,6.1,65,3.2,0.0,5.2,0.0,0
2023-01-02T06:00,2023-01-02,6,Monday,1,0,6.3,64,3.6,0.0,4.1,0.0,0
2023-01-02T07:00,2023-01-02,7,Monday,1,0,5.5,68,2.8,0.0,4.1,0.0,0
2023-01-02T08:00,2023-01-02,8,Monday,1,0,4.8,73,2.0,0.0,4.8,24.0,1
2023-01-02T09:00,2023-01-02,9,Monday,1,0,7.7,67,5.5,0.0,2.4,150.0,1
2023-01-02T10:00,2023-01-02,10,Monday,1,0,10.8,59,8.6,0.0,3.5,301.0,1
2023-01-02T11:00,2023-01-02,11,Monday,1,0,12.9,50,10.6,0.0,4.5,423.0,1
2023-01-02T12:00,2023-01-02,12,Monday,1,0,14.8,46,12.7,0.0,3.6,494.0,1
2023-01-02T13:00,2023-01-02,13,Monday,1,0,16.1,43,14.1,0.0,3.3,505.0,1
2023-01-02T14:00,2023-01-02,14,Monday,1,0,16.6,43,14.6,0.0,3.7,454.0,1
2023-01-02T15:00,2023-01-02,15,Monday,1,0,16.5,44,14.6,0.0,3.7,349.0,1
2023-01-02T16:00,2023-01-02,16,Monday,1,0,14.7,66,13.7,0.0,4.4,204.0,1
2023-01-02T17:00,2023-01-02,17,Monday,1,0,10.3,70,7.8,0.0,9.2,61.0,1
2023-01-02T18:00,2023-01-02,18,Monday,1,0,10.1,71,7.9,0.0,6.5,0.0,0
2023-01-02T19:00,2023-01-02,19,Monday,1,0,9.7,73,8.3,0.0,1.3,0.0,0
